hospital_id,hospital_name,region,trauma_level,month,total_cases,fatality_rate,icu_rate,ventilator_rate,avg_hospital_los_days,rolling_mean,rolling_std,z_score,pct_change,anomaly_flag,anomaly_reason
H005,Central County Hospital,Central,Level III,2025-11,7,14.29,42.86,14.29,7.14,12.33,2.66,-2.01,-36.36,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-12,12,0.0,8.33,8.33,4.67,11.0,3.03,0.33,71.43,True,Large month-over-month increase
H006,Harborview Emergency Hospital,Metro,Level I,2024-01,27,3.7,33.33,11.11,6.52,27.0,0.0,0.0,0.0,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-02,47,6.38,23.4,14.89,6.64,47.0,0.0,0.0,74.07,True,Large month-over-month increase
H006,Harborview Emergency Hospital,Metro,Level I,2024-03,54,3.7,20.37,12.96,5.94,54.0,0.0,0.0,14.89,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-04,48,6.25,20.83,6.25,5.25,42.67,14.01,0.38,-11.11,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-05,45,8.89,37.78,8.89,7.93,44.0,11.75,0.09,-6.25,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-06,44,9.09,29.55,11.36,6.05,44.2,10.18,-0.02,-2.22,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-07,41,12.2,17.07,9.76,5.83,44.17,9.11,-0.35,-6.82,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-08,43,2.33,30.23,11.63,6.51,46.5,4.42,-0.79,4.88,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-09,44,0.0,31.82,11.36,6.41,45.83,4.62,-0.4,2.33,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-10,26,11.54,19.23,3.85,6.73,44.17,2.32,-7.84,-40.91,True,Low volume versus rolling baseline
H006,Harborview Emergency Hospital,Metro,Level I,2024-11,35,0.0,22.86,11.43,5.91,40.5,7.23,-0.76,34.62,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2024-12,47,4.26,29.79,10.64,5.85,38.83,7.14,1.14,34.29,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-01,56,5.36,30.36,16.07,6.3,39.33,7.66,2.18,19.15,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-02,46,2.17,30.43,19.57,7.33,41.83,10.3,0.4,-17.86,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-03,53,3.77,26.42,11.32,6.45,42.33,10.44,1.02,15.22,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-04,39,5.13,23.08,10.26,5.97,43.83,11.34,-0.43,-26.42,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-05,43,4.65,25.58,9.3,5.86,46.0,8.0,-0.38,10.26,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-06,45,2.22,20.0,6.67,5.67,47.33,6.28,-0.37,4.65,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-07,35,8.57,22.86,8.57,5.63,47.0,6.36,-1.89,-22.22,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-08,39,7.69,41.03,23.08,7.44,43.5,6.19,-0.73,11.43,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-09,35,2.86,31.43,11.43,7.14,42.33,6.28,-1.17,-10.26,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-10,39,2.56,25.64,7.69,5.69,39.33,4.08,-0.08,11.43,False,Within expected range
H006,Harborview Emergency Hospital,Metro,Level I,2025-11,29,6.9,24.14,10.34,6.31,39.33,4.08,-2.53,-25.64,True,Low volume versus rolling baseline
H006,Harborview Emergency Hospital,Metro,Level I,2025-12,36,2.78,44.44,13.89,7.11,37.0,5.37,-0.19,24.14,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-01,9,11.11,22.22,11.11,5.33,9.0,0.0,0.0,0.0,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-02,7,0.0,42.86,28.57,7.0,7.0,0.0,0.0,-22.22,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-03,12,8.33,25.0,8.33,5.42,12.0,0.0,0.0,71.43,True,Large month-over-month increase
H007,Pine Hills Medical Center,Northern,Level III,2024-04,13,0.0,30.77,0.0,6.23,9.33,2.52,1.46,8.33,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-05,14,0.0,7.14,0.0,5.5,10.25,2.75,1.36,7.69,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-06,10,0.0,20.0,10.0,6.6,11.0,2.92,-0.34,-28.57,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-07,10,10.0,60.0,50.0,10.8,10.83,2.64,-0.32,0.0,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-08,8,0.0,50.0,12.5,5.62,11.0,2.53,-1.19,-20.0,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-09,12,0.0,58.33,33.33,8.08,11.17,2.23,0.37,50.0,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-10,11,9.09,27.27,9.09,5.73,11.17,2.23,-0.07,-8.33,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2024-11,4,0.0,25.0,25.0,6.75,10.83,2.04,-3.35,-63.64,True,Low volume versus rolling baseline
H007,Pine Hills Medical Center,Northern,Level III,2024-12,13,7.69,23.08,0.0,5.77,9.17,2.86,1.34,225.0,True,Large month-over-month increase
H007,Pine Hills Medical Center,Northern,Level III,2025-01,10,0.0,30.0,20.0,7.4,9.67,3.27,0.1,-23.08,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-02,15,0.0,26.67,6.67,6.27,9.67,3.27,1.63,50.0,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-03,11,18.18,18.18,18.18,5.0,10.83,3.76,0.04,-26.67,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-04,14,7.14,14.29,14.29,4.93,10.67,3.72,0.9,27.27,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-05,8,12.5,50.0,12.5,7.75,11.17,3.97,-0.8,-42.86,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-06,11,0.0,36.36,0.0,7.55,11.83,2.64,-0.32,37.5,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-07,12,8.33,33.33,8.33,6.17,11.5,2.59,0.19,9.09,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-08,11,9.09,45.45,9.09,6.27,11.83,2.48,-0.34,-8.33,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-09,13,7.69,30.77,0.0,5.38,11.17,1.94,0.94,18.18,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-10,8,0.0,75.0,12.5,7.25,11.5,2.07,-1.69,-38.46,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-11,8,12.5,12.5,0.0,5.38,10.5,2.07,-1.21,0.0,False,Within expected range
H007,Pine Hills Medical Center,Northern,Level III,2025-12,7,0.0,14.29,14.29,5.14,10.5,2.07,-1.69,-12.5,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-01,32,6.25,25.0,15.62,6.16,32.0,0.0,0.0,0.0,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-02,27,7.41,14.81,3.7,5.7,27.0,0.0,0.0,-15.62,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-03,27,11.11,29.63,3.7,6.22,27.0,0.0,0.0,0.0,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-04,30,13.33,36.67,10.0,6.83,28.67,2.89,0.46,11.11,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-05,20,0.0,20.0,0.0,7.05,29.0,2.45,-3.67,-33.33,True,Low volume versus rolling baseline
H008,South Bay Trauma Center,Long Island,Level II,2024-06,28,0.0,28.57,14.29,5.96,27.2,4.55,0.18,40.0,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-07,28,7.14,14.29,14.29,5.54,27.33,4.08,0.16,0.0,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-08,32,9.38,28.12,12.5,6.19,26.67,3.44,1.55,14.29,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-09,22,0.0,40.91,22.73,7.14,27.5,4.09,-1.35,-31.25,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-10,17,5.88,17.65,23.53,6.94,26.67,4.68,-2.07,-22.73,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2024-11,32,6.25,28.12,9.38,7.91,24.5,5.72,1.31,88.24,True,Large month-over-month increase
H008,South Bay Trauma Center,Long Island,Level II,2024-12,29,0.0,13.79,6.9,5.14,26.5,5.92,0.42,-9.38,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-01,24,0.0,29.17,8.33,6.04,26.67,5.99,-0.45,-17.24,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-02,24,0.0,25.0,8.33,6.38,26.0,6.03,-0.33,0.0,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-03,32,12.5,21.88,12.5,5.81,24.67,5.28,1.39,33.33,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-04,40,2.5,27.5,10.0,6.2,26.33,5.82,2.35,25.0,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-05,33,9.09,33.33,18.18,7.21,30.17,6.01,0.47,-17.5,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-06,20,5.0,20.0,15.0,6.65,30.33,6.09,-1.7,-39.39,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-07,31,6.45,38.71,12.9,6.35,28.83,7.44,0.29,55.0,True,Large month-over-month increase
H008,South Bay Trauma Center,Long Island,Level II,2025-08,30,10.0,20.0,6.67,5.1,30.0,7.07,0.0,-3.23,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-09,30,6.67,23.33,3.33,4.6,31.0,6.45,-0.16,0.0,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-10,20,5.0,15.0,10.0,5.65,30.67,6.44,-1.66,-33.33,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-11,22,9.09,31.82,18.18,7.86,27.33,5.79,-0.92,10.0,False,Within expected range
H008,South Bay Trauma Center,Long Island,Level II,2025-12,31,3.23,25.81,16.13,6.1,25.5,5.36,1.03,40.91,False,Within expected range
