month,hospital_id,total_cases,icu_cases,ventilator_cases,avg_icu_los_days,avg_ventilator_days,icu_rate,ventilator_rate
2025-10,H005,11,4,0,2.0,0.0,36.36,0.0
2025-10,H006,39,10,3,1.18,0.36,25.64,7.69
2025-10,H007,8,6,1,2.62,0.12,75.0,12.5
2025-10,H008,20,3,2,0.85,0.25,15.0,10.0
2025-11,H001,34,10,2,1.24,0.24,29.41,5.88
2025-11,H002,17,2,0,0.41,0.0,11.76,0.0
2025-11,H003,31,9,3,1.26,0.29,29.03,9.68
2025-11,H004,19,4,2,1.05,0.16,21.05,10.53
2025-11,H005,7,3,1,2.71,0.14,42.86,14.29
2025-11,H006,29,7,3,1.48,0.24,24.14,10.34
2025-11,H007,8,1,0,0.88,0.0,12.5,0.0
2025-11,H008,22,7,4,1.32,0.77,31.82,18.18
2025-12,H001,27,5,4,0.67,0.41,18.52,14.81
2025-12,H002,29,5,1,0.69,0.03,17.24,3.45
2025-12,H003,32,8,2,1.53,0.28,25.0,6.25
2025-12,H004,21,8,3,1.86,0.62,38.1,14.29
2025-12,H005,12,1,1,0.17,0.17,8.33,8.33
2025-12,H006,36,16,5,1.78,0.42,44.44,13.89
2025-12,H007,7,1,1,0.57,0.29,14.29,14.29
2025-12,H008,31,8,5,1.39,0.55,25.81,16.13
