month,claim_type,payer_category,claim_count,allowed_amount,paid_amount,avg_paid_amount
2024-05,Inpatient,Medicaid,37,1183743.84,909248.07,24574.27
2024-05,Inpatient,Medicare,29,882777.87,665127.51,22935.43
2024-05,Inpatient,Other,6,181239.23,143368.84,23894.81
2024-05,Inpatient,Self Pay,8,327847.9,246361.04,30795.13
2024-05,Outpatient,Commercial,23,88889.64,68821.92,2992.26
2024-05,Outpatient,Medicaid,8,29569.06,23669.19,2958.65
2024-05,Outpatient,Medicare,10,35405.01,28042.0,2804.2
2024-05,Outpatient,Other,6,27682.42,22085.88,3680.98
2024-05,Outpatient,Self Pay,1,4374.98,3549.95,3549.95
2024-06,Ambulatory Surgery,Commercial,6,103640.35,70732.57,11788.76
2024-06,Ambulatory Surgery,Medicaid,4,55853.74,47177.31,11794.33
2024-06,Ambulatory Surgery,Medicare,4,58004.18,40118.85,10029.71
2024-06,Ambulatory Surgery,Other,1,11800.2,8589.84,8589.84
2024-06,Emergency Department,Commercial,33,229763.07,182185.89,5520.78
2024-06,Emergency Department,Medicaid,22,158142.58,130808.99,5945.86
2024-06,Emergency Department,Medicare,20,118881.42,92871.34,4643.57
2024-06,Emergency Department,Other,6,34703.26,27368.89,4561.48
2024-06,Emergency Department,Self Pay,6,37024.75,30159.38,5026.56
2024-06,Inpatient,Commercial,52,1565157.77,1200197.4,23080.72
2024-06,Inpatient,Medicaid,27,755849.39,581195.71,21525.77
2024-06,Inpatient,Medicare,39,1203550.69,959768.16,24609.44
2024-06,Inpatient,Other,13,503425.03,395967.92,30459.07
2024-06,Inpatient,Self Pay,8,231850.36,172469.37,21558.67
2024-06,Outpatient,Commercial,14,54368.14,42836.38,3059.74
2024-06,Outpatient,Medicaid,10,35346.0,28658.86,2865.89
2024-06,Outpatient,Medicare,17,56976.11,44785.67,2634.45
2024-06,Outpatient,Other,5,20007.0,15524.12,3104.82
2024-06,Outpatient,Self Pay,2,6096.49,4864.26,2432.13
2024-07,Ambulatory Surgery,Commercial,7,106820.72,78130.96,11161.57
2024-07,Ambulatory Surgery,Medicaid,7,120017.69,99695.86,14242.27
2024-07,Ambulatory Surgery,Medicare,7,101715.93,76527.38,10932.48
2024-07,Ambulatory Surgery,Self Pay,2,27430.97,23788.39,11894.2
2024-07,Emergency Department,Commercial,24,187411.59,148167.08,6173.63
2024-07,Emergency Department,Medicaid,15,93134.38,70311.95,4687.46
2024-07,Emergency Department,Medicare,14,93089.96,71102.3,5078.74
2024-07,Emergency Department,Other,5,31253.13,24117.99,4823.6
2024-07,Emergency Department,Self Pay,1,12825.97,9342.57,9342.57
2024-07,Inpatient,Commercial,50,1765874.92,1365023.67,27300.47
2024-07,Inpatient,Medicaid,23,733916.02,574731.11,24988.31
2024-07,Inpatient,Medicare,31,898419.29,712729.65,22991.28
2024-07,Inpatient,Other,6,167624.52,134028.16,22338.03
2024-07,Inpatient,Self Pay,7,243234.34,193317.77,27616.82
2024-07,Outpatient,Commercial,13,46841.92,35941.73,2764.75
2024-07,Outpatient,Medicaid,17,70819.95,56042.18,3296.6
2024-07,Outpatient,Medicare,22,81987.29,66189.12,3008.6
2024-07,Outpatient,Other,2,4381.71,3273.32,1636.66
2024-07,Outpatient,Self Pay,5,22561.18,16188.85,3237.77
2024-08,Ambulatory Surgery,Commercial,6,103143.69,79532.38,13255.4
2024-08,Ambulatory Surgery,Medicaid,3,41040.64,30623.84,10207.95
2024-08,Ambulatory Surgery,Medicare,2,25669.71,16888.28,8444.14
2024-08,Ambulatory Surgery,Other,2,33951.81,24501.72,12250.86
2024-08,Emergency Department,Commercial,23,179366.99,134551.44,5850.06
2024-08,Emergency Department,Medicaid,11,82781.58,63646.84,5786.08
2024-08,Emergency Department,Medicare,18,125699.29,94187.39,5232.63
2024-08,Emergency Department,Other,5,38045.57,30507.61,6101.52
2024-08,Emergency Department,Self Pay,2,14413.07,10712.51,5356.26
2024-08,Inpatient,Commercial,48,1550580.93,1165792.14,24287.34
2024-08,Inpatient,Medicaid,31,1018730.27,791406.47,25529.24
2024-08,Inpatient,Medicare,24,818902.97,624067.04,26002.79
2024-08,Inpatient,Other,3,146665.67,121902.33,40634.11
2024-08,Inpatient,Self Pay,6,181563.66,139405.63,23234.27
2024-08,Outpatient,Commercial,18,69294.1,55084.21,3060.23
2024-08,Outpatient,Medicaid,6,23907.57,18366.01,3061.0
2024-08,Outpatient,Medicare,12,51192.73,38106.0,3175.5
2024-08,Outpatient,Other,4,14250.88,11997.99,2999.5
2024-08,Outpatient,Self Pay,1,4450.87,4008.23,4008.23
2024-09,Ambulatory Surgery,Commercial,10,162459.63,135018.89,13501.89
2024-09,Ambulatory Surgery,Medicaid,2,26601.81,24295.62,12147.81
2024-09,Ambulatory Surgery,Medicare,8,107166.54,82483.82,10310.48
2024-09,Ambulatory Surgery,Other,3,47477.17,35701.73,11900.58
2024-09,Ambulatory Surgery,Self Pay,1,13495.63,10360.33,10360.33
2024-09,Emergency Department,Commercial,17,118421.52,95290.51,5605.32
2024-09,Emergency Department,Medicaid,11,77167.64,60836.57,5530.6
2024-09,Emergency Department,Medicare,16,117513.07,94474.64,5904.66
2024-09,Emergency Department,Other,6,63652.82,48894.25,8149.04
2024-09,Emergency Department,Self Pay,2,15642.42,12730.21,6365.1
2024-09,Inpatient,Commercial,50,1547191.32,1184628.67,23692.57
2024-09,Inpatient,Medicaid,26,778647.86,575158.29,22121.47
2024-09,Inpatient,Medicare,28,810440.73,650727.17,23240.26
2024-09,Inpatient,Other,4,151819.98,123005.66,30751.42
2024-09,Inpatient,Self Pay,4,106123.24,74964.69,18741.17
2024-09,Outpatient,Commercial,18,68686.6,53581.12,2976.73
2024-09,Outpatient,Medicaid,10,40400.89,30566.34,3056.63
2024-09,Outpatient,Medicare,11,46595.85,36281.1,3298.28
2024-09,Outpatient,Other,9,30682.14,23171.67,2574.63
2024-09,Outpatient,Self Pay,2,7419.32,6416.2,3208.1
2024-10,Ambulatory Surgery,Commercial,8,122219.29,96038.55,12004.82
2024-10,Ambulatory Surgery,Medicaid,2,37043.26,29950.87,14975.44
2024-10,Ambulatory Surgery,Medicare,1,19574.53,17362.88,17362.88
2024-10,Ambulatory Surgery,Other,3,49014.17,42050.29,14016.76
2024-10,Ambulatory Surgery,Self Pay,1,13583.0,9123.4,9123.4
2024-10,Emergency Department,Commercial,23,154923.73,119107.19,5178.57
2024-10,Emergency Department,Medicaid,7,52913.67,39994.12,5713.45
2024-10,Emergency Department,Medicare,20,150611.01,113291.91,5664.6
2024-10,Emergency Department,Other,3,25411.7,20088.91,6696.3
2024-10,Emergency Department,Self Pay,1,7539.98,6834.18,6834.18
2024-10,Inpatient,Commercial,37,1108350.15,846194.28,22870.12
2024-10,Inpatient,Medicaid,20,662359.55,510685.66,25534.28
2024-10,Inpatient,Medicare,26,773662.38,584980.69,22499.26
2024-10,Inpatient,Other,11,348140.78,261837.08,23803.37
2024-10,Inpatient,Self Pay,6,181622.03,151533.8,25255.63
2024-10,Outpatient,Commercial,18,53908.63,43292.68,2405.15
2024-10,Outpatient,Medicaid,13,51521.74,39928.54,3071.43
2024-10,Outpatient,Medicare,8,26628.3,21293.62,2661.7
2024-10,Outpatient,Other,2,8984.42,6397.62,3198.81
2024-10,Outpatient,Self Pay,3,12206.26,10761.57,3587.19
2024-11,Ambulatory Surgery,Medicaid,1,6535.49,4906.19,4906.19
2024-11,Ambulatory Surgery,Medicare,4,63525.65,50945.43,12736.36
2024-11,Ambulatory Surgery,Other,3,43545.81,33886.23,11295.41
2024-11,Ambulatory Surgery,Self Pay,1,15506.16,13021.95,13021.95
2024-11,Emergency Department,Commercial,19,158922.25,120567.96,6345.68
2024-11,Emergency Department,Medicaid,16,105750.49,78030.03,4876.88
2024-11,Emergency Department,Medicare,12,91695.94,73892.22,6157.68
2024-11,Emergency Department,Other,7,55398.9,41990.54,5998.65
2024-11,Emergency Department,Self Pay,6,57182.29,44434.81,7405.8
2024-11,Inpatient,Commercial,35,1119978.44,873005.11,24943.0
2024-11,Inpatient,Medicaid,26,754063.24,588724.78,22643.26
2024-11,Inpatient,Medicare,30,797794.74,609949.33,20331.64
2024-11,Inpatient,Other,4,145349.18,107077.42,26769.36
2024-11,Inpatient,Self Pay,9,271360.1,223566.31,24840.7
2024-11,Outpatient,Commercial,14,42777.18,34091.22,2435.09
2024-11,Outpatient,Medicaid,12,35638.65,27957.55,2329.8
2024-11,Outpatient,Medicare,15,49173.49,40210.86,2680.72
2024-11,Outpatient,Self Pay,3,8942.96,6834.36,2278.12
2024-12,Ambulatory Surgery,Commercial,8,111592.96,78380.4,9797.55
2024-12,Ambulatory Surgery,Medicaid,4,86809.08,70704.06,17676.02
2024-12,Ambulatory Surgery,Medicare,2,20639.16,14675.1,7337.55
2024-12,Ambulatory Surgery,Self Pay,2,24774.05,19451.06,9725.53
2024-12,Emergency Department,Commercial,22,148371.09,116326.73,5287.58
2024-12,Emergency Department,Medicaid,18,107888.45,84589.95,4699.44
2024-12,Emergency Department,Medicare,21,127661.84,100200.72,4771.46
2024-12,Emergency Department,Other,2,8181.06,7057.55,3528.78
2024-12,Emergency Department,Self Pay,4,24978.49,19404.21,4851.05
2024-12,Inpatient,Commercial,34,1035670.27,778511.11,22897.39
2024-12,Inpatient,Medicaid,35,1009251.16,787993.98,22514.11
2024-12,Inpatient,Medicare,40,1259235.23,986184.7,24654.62
2024-12,Inpatient,Other,8,201959.05,139662.27,17457.78
2024-12,Inpatient,Self Pay,9,262406.03,202004.94,22444.99
2024-12,Outpatient,Commercial,28,92342.13,67691.9,2417.57
2024-12,Outpatient,Medicaid,11,38434.75,31090.19,2826.38
2024-12,Outpatient,Medicare,14,53150.87,41263.23,2947.37
2024-12,Outpatient,Self Pay,1,5720.22,4820.79,4820.79
2025-01,Ambulatory Surgery,Commercial,7,130629.95,102280.47,14611.5
2025-01,Ambulatory Surgery,Medicaid,4,71586.26,57131.11,14282.78
2025-01,Ambulatory Surgery,Medicare,6,84164.23,69090.63,11515.11
2025-01,Ambulatory Surgery,Other,1,22438.49,17607.87,17607.87
2025-01,Emergency Department,Commercial,16,100895.09,79616.41,4976.03
2025-01,Emergency Department,Medicaid,20,149047.96,114994.83,5749.74
2025-01,Emergency Department,Medicare,20,128821.02,99085.65,4954.28
2025-01,Emergency Department,Other,9,68317.88,50652.73,5628.08
2025-01,Emergency Department,Self Pay,8,52415.16,42208.64,5276.08
2025-01,Inpatient,Commercial,55,1775912.41,1392254.92,25313.73
2025-01,Inpatient,Medicaid,31,982754.68,748797.77,24154.77
2025-01,Inpatient,Medicare,31,920348.23,730361.8,23560.06
2025-01,Inpatient,Other,9,189105.93,143146.62,15905.18
2025-01,Inpatient,Self Pay,8,272768.85,197313.8,24664.22
2025-01,Outpatient,Commercial,20,72649.35,55918.17,2795.91
2025-01,Outpatient,Medicaid,14,46352.26,34414.04,2458.15
2025-01,Outpatient,Medicare,14,46963.56,36574.33,2612.45
2025-01,Outpatient,Other,2,4788.7,3866.51,1933.26
2025-01,Outpatient,Self Pay,2,10060.31,7172.35,3586.18
2025-02,Ambulatory Surgery,Commercial,5,90656.93,65884.26,13176.85
2025-02,Ambulatory Surgery,Medicaid,5,90257.07,67227.93,13445.59
2025-02,Ambulatory Surgery,Medicare,7,107431.51,87336.48,12476.64
2025-02,Ambulatory Surgery,Other,2,26809.55,20790.91,10395.46
2025-02,Emergency Department,Commercial,23,150189.37,116734.56,5075.42
2025-02,Emergency Department,Medicaid,13,91106.1,67140.64,5164.66
2025-02,Emergency Department,Medicare,24,196927.6,148757.8,6198.24
2025-02,Emergency Department,Other,4,35203.04,26107.32,6526.83
2025-02,Emergency Department,Self Pay,7,57106.02,42696.55,6099.51
2025-02,Inpatient,Commercial,47,1561824.58,1258516.08,26776.94
2025-02,Inpatient,Medicaid,26,824466.12,626301.18,24088.51
2025-02,Inpatient,Medicare,48,1432594.2,1143657.2,23826.19
2025-02,Inpatient,Other,7,172411.05,133435.79,19062.26
2025-02,Inpatient,Self Pay,7,163923.83,125812.69,17973.24
2025-02,Outpatient,Commercial,19,70864.84,56820.86,2990.57
2025-02,Outpatient,Medicaid,14,54893.95,43420.65,3101.48
2025-02,Outpatient,Medicare,18,55851.54,44956.44,2497.58
2025-02,Outpatient,Other,8,31693.54,25601.91,3200.24
2025-03,Ambulatory Surgery,Commercial,8,94928.82,77000.52,9625.06
2025-03,Ambulatory Surgery,Medicaid,13,250005.31,192095.45,14776.57
2025-03,Ambulatory Surgery,Medicare,4,55903.0,45692.33,11423.08
2025-03,Ambulatory Surgery,Other,2,37494.54,29169.69,14584.84
2025-03,Emergency Department,Commercial,27,203351.1,155356.93,5753.96
2025-03,Emergency Department,Medicaid,17,113756.23,85050.3,5002.96
2025-03,Emergency Department,Medicare,29,177902.83,135007.52,4655.43
2025-03,Emergency Department,Other,3,19016.64,17015.1,5671.7
2025-03,Emergency Department,Self Pay,4,22540.25,17128.28,4282.07
2025-03,Inpatient,Commercial,49,1445191.51,1130744.21,23076.41
2025-03,Inpatient,Medicaid,29,969536.59,769540.32,26535.87
2025-03,Inpatient,Medicare,43,1312455.37,1025287.59,23843.9
2025-03,Inpatient,Other,7,251722.56,193472.01,27638.86
2025-03,Inpatient,Self Pay,15,452248.05,360667.44,24044.5
2025-03,Outpatient,Commercial,21,86837.46,69307.35,3300.35
2025-03,Outpatient,Medicaid,13,48500.35,37279.42,2867.65
2025-03,Outpatient,Medicare,16,57413.91,44739.21,2796.2
2025-03,Outpatient,Other,5,13099.46,9215.02,1843.0
2025-03,Outpatient,Self Pay,6,22385.66,18065.69,3010.95
2025-04,Ambulatory Surgery,Commercial,8,111833.87,90436.26,11304.53
2025-04,Ambulatory Surgery,Medicaid,7,127660.55,107696.08,15385.15
2025-04,Ambulatory Surgery,Medicare,3,39502.63,30834.13,10278.04
2025-04,Ambulatory Surgery,Other,1,12612.44,9184.86,9184.86
2025-04,Emergency Department,Commercial,33,216141.5,169408.96,5133.6
2025-04,Emergency Department,Medicaid,15,103026.31,76973.7,5131.58
2025-04,Emergency Department,Medicare,20,119330.05,88449.4,4422.47
2025-04,Emergency Department,Other,4,19608.71,14040.24,3510.06
2025-04,Emergency Department,Self Pay,4,21555.7,15933.57,3983.39
2025-04,Inpatient,Commercial,57,1722422.11,1342114.94,23545.88
2025-04,Inpatient,Medicaid,34,1136927.59,889808.93,26170.85
2025-04,Inpatient,Medicare,33,1021394.62,767433.31,23255.55
2025-04,Inpatient,Other,4,102394.06,82046.56,20511.64
2025-04,Inpatient,Self Pay,7,201983.4,150129.19,21447.03
2025-04,Outpatient,Commercial,19,77512.54,59957.93,3155.68
2025-04,Outpatient,Medicaid,15,62114.25,46822.89,3121.53
2025-04,Outpatient,Medicare,14,47956.82,35683.5,2548.82
2025-04,Outpatient,Other,7,28268.83,20420.22,2917.17
2025-05,Ambulatory Surgery,Commercial,6,127160.55,90931.45,15155.24
2025-05,Ambulatory Surgery,Medicaid,6,87979.73,74175.79,12362.63
2025-05,Ambulatory Surgery,Medicare,5,74226.08,54044.97,10808.99
2025-05,Ambulatory Surgery,Other,1,16572.32,13968.51,13968.51
2025-05,Ambulatory Surgery,Self Pay,1,5351.0,3673.47,3673.47
2025-05,Emergency Department,Commercial,28,169752.69,129601.99,4628.64
2025-05,Emergency Department,Medicaid,16,115270.68,88455.94,5528.5
2025-05,Emergency Department,Medicare,20,146671.58,107108.11,5355.41
2025-05,Emergency Department,Other,3,16104.09,11592.36,3864.12
2025-05,Emergency Department,Self Pay,3,24428.79,18636.83,6212.28
2025-05,Inpatient,Commercial,49,1548676.77,1206021.72,24612.69
2025-05,Inpatient,Medicaid,31,952843.67,728477.08,23499.26
2025-05,Inpatient,Medicare,39,1253523.63,977769.76,25071.02
2025-05,Inpatient,Other,11,350797.99,268303.51,24391.23
2025-05,Inpatient,Self Pay,8,293533.94,238235.37,29779.42
2025-05,Outpatient,Commercial,27,86158.33,64800.01,2400.0
2025-05,Outpatient,Medicaid,17,56123.23,44822.27,2636.6
2025-05,Outpatient,Medicare,15,57036.32,43024.56,2868.3
2025-05,Outpatient,Other,1,4330.72,3846.81,3846.81
2025-05,Outpatient,Self Pay,4,15217.38,11237.59,2809.4
2025-06,Ambulatory Surgery,Commercial,9,157089.22,125079.66,13897.74
2025-06,Ambulatory Surgery,Medicaid,3,63461.7,49037.58,16345.86
2025-06,Ambulatory Surgery,Medicare,4,48884.83,38800.73,9700.18
2025-06,Ambulatory Surgery,Other,2,27832.99,21154.98,10577.49
2025-06,Ambulatory Surgery,Self Pay,1,19529.84,15410.2,15410.2
2025-06,Emergency Department,Commercial,28,197599.44,157804.1,5635.86
2025-06,Emergency Department,Medicaid,11,85522.93,67725.62,6156.87
2025-06,Emergency Department,Medicare,23,176689.76,135955.84,5911.12
2025-06,Emergency Department,Other,2,13449.36,11276.62,5638.31
2025-06,Emergency Department,Self Pay,2,17175.71,12471.89,6235.94
2025-06,Inpatient,Commercial,54,1760129.24,1368913.76,25350.25
2025-06,Inpatient,Medicaid,23,794807.12,638228.52,27749.07
2025-06,Inpatient,Medicare,46,1389134.53,1038751.12,22581.55
2025-06,Inpatient,Other,6,135426.85,106586.44,17764.41
2025-06,Inpatient,Self Pay,4,169570.84,149223.15,37305.79
2025-06,Outpatient,Commercial,26,88565.92,70502.77,2711.64
2025-06,Outpatient,Medicaid,15,55973.78,42277.5,2818.5
2025-06,Outpatient,Medicare,13,45560.1,36451.6,2803.97
2025-06,Outpatient,Other,3,10692.21,8615.86,2871.95
2025-06,Outpatient,Self Pay,2,5246.45,3970.1,1985.05
2025-07,Ambulatory Surgery,Commercial,6,91724.88,72346.81,12057.8
2025-07,Ambulatory Surgery,Medicaid,2,23140.26,21074.25,10537.12
2025-07,Ambulatory Surgery,Medicare,9,135884.15,103450.62,11494.51
2025-07,Ambulatory Surgery,Other,1,15944.9,11437.32,11437.32
2025-07,Emergency Department,Commercial,26,194927.01,152311.54,5858.14
2025-07,Emergency Department,Medicaid,18,127923.07,102699.68,5705.54
2025-07,Emergency Department,Medicare,19,134236.45,100839.17,5307.32
2025-07,Emergency Department,Other,3,18453.51,13437.08,4479.03
2025-07,Emergency Department,Self Pay,8,53217.05,40145.82,5018.23
2025-07,Inpatient,Commercial,49,1523144.74,1104896.23,22548.9
2025-07,Inpatient,Medicaid,39,1242912.86,965072.33,24745.44
2025-07,Inpatient,Medicare,35,1107714.13,885132.47,25289.5
2025-07,Inpatient,Other,8,255027.82,218189.43,27273.68
2025-07,Inpatient,Self Pay,7,235492.39,195472.67,27924.67
2025-07,Outpatient,Commercial,27,110671.89,83057.53,3076.2
2025-07,Outpatient,Medicaid,13,53375.64,41627.77,3202.14
2025-07,Outpatient,Medicare,22,89634.1,69101.3,3140.97
2025-07,Outpatient,Other,2,5010.38,3928.54,1964.27
2025-07,Outpatient,Self Pay,3,12262.54,8945.23,2981.74
2025-08,Ambulatory Surgery,Commercial,7,152724.4,114636.54,16376.65
2025-08,Ambulatory Surgery,Medicaid,2,28766.14,25399.63,12699.82
2025-08,Ambulatory Surgery,Medicare,3,69919.65,55123.11,18374.37
2025-08,Ambulatory Surgery,Self Pay,1,21340.75,19220.75,19220.75
2025-08,Emergency Department,Commercial,21,125462.89,94507.71,4500.37
2025-08,Emergency Department,Medicaid,14,96952.33,77018.46,5501.32
2025-08,Emergency Department,Medicare,19,139983.7,111849.31,5886.81
2025-08,Emergency Department,Other,5,37681.41,32821.3,6564.26
2025-08,Emergency Department,Self Pay,4,35108.02,27584.99,6896.25
2025-08,Inpatient,Commercial,41,1268128.32,974055.29,23757.45
2025-08,Inpatient,Medicaid,30,894717.45,664812.02,22160.4
2025-08,Inpatient,Medicare,31,985399.6,754775.93,24347.61
2025-08,Inpatient,Other,7,178182.93,149713.18,21387.6
2025-08,Inpatient,Self Pay,5,154787.86,117387.61,23477.52
2025-08,Outpatient,Commercial,14,50990.19,39944.02,2853.14
2025-08,Outpatient,Medicaid,12,39785.97,32435.32,2702.94
2025-08,Outpatient,Medicare,18,70492.19,56047.18,3113.73
2025-08,Outpatient,Other,2,9124.47,6544.0,3272.0
2025-09,Ambulatory Surgery,Commercial,4,72338.61,49531.45,12382.86
2025-09,Ambulatory Surgery,Medicaid,6,95864.34,70261.78,11710.3
2025-09,Ambulatory Surgery,Medicare,3,53160.69,42999.87,14333.29
2025-09,Ambulatory Surgery,Other,1,24877.66,17801.39,17801.39
2025-09,Emergency Department,Commercial,20,138564.95,109845.16,5492.26
2025-09,Emergency Department,Medicaid,15,104031.24,81986.64,5465.78
2025-09,Emergency Department,Medicare,21,154829.0,125167.94,5960.38
2025-09,Emergency Department,Other,7,33755.93,26625.36,3803.62
2025-09,Emergency Department,Self Pay,3,24557.68,18725.17,6241.72
2025-09,Inpatient,Commercial,53,1606318.24,1254593.93,23671.58
2025-09,Inpatient,Medicaid,30,1042529.67,834672.69,27822.42
2025-09,Inpatient,Medicare,35,1120122.77,862634.94,24646.71
2025-09,Inpatient,Other,8,258201.83,193322.0,24165.25
2025-09,Inpatient,Self Pay,8,233773.14,177283.94,22160.49
2025-09,Outpatient,Commercial,14,45706.91,37978.76,2712.77
2025-09,Outpatient,Medicaid,12,44512.41,33369.41,2780.78
2025-09,Outpatient,Medicare,15,59559.93,44119.67,2941.31
2025-09,Outpatient,Other,3,10806.3,7988.45,2662.82
2025-09,Outpatient,Self Pay,1,3835.31,3117.66,3117.66
2025-10,Ambulatory Surgery,Commercial,7,101856.77,78476.04,11210.86
2025-10,Ambulatory Surgery,Medicaid,2,27011.68,18073.12,9036.56
2025-10,Ambulatory Surgery,Medicare,7,104894.16,81811.95,11687.42
