month,region,opt_in,opt_out,unknown,total_records,opt_in_rate,opt_out_rate
2024-07,Western,5.0,1.0,1.0,7.0,71.43,14.29
2024-08,Capital,5.0,2.0,2.0,9.0,55.56,22.22
2024-08,Central,2.0,0.0,0.0,2.0,100.0,0.0
2024-08,Hudson,5.0,2.0,0.0,7.0,71.43,28.57
2024-08,Long Island,14.0,5.0,0.0,19.0,73.68,26.32
2024-08,Metro,20.0,4.0,1.0,25.0,80.0,16.0
2024-08,Northern,3.0,1.0,0.0,4.0,75.0,25.0
2024-08,Western,5.0,1.0,2.0,8.0,62.5,12.5
2024-09,Capital,4.0,4.0,1.0,9.0,44.44,44.44
2024-09,Central,6.0,5.0,1.0,12.0,50.0,41.67
2024-09,Hudson,9.0,4.0,1.0,14.0,64.29,28.57
2024-09,Long Island,14.0,5.0,2.0,21.0,66.67,23.81
2024-09,Metro,20.0,5.0,0.0,25.0,80.0,20.0
2024-09,Northern,2.0,1.0,0.0,3.0,66.67,33.33
2024-09,Western,11.0,1.0,1.0,13.0,84.62,7.69
2024-10,Capital,3.0,0.0,1.0,4.0,75.0,0.0
2024-10,Central,5.0,2.0,1.0,8.0,62.5,25.0
2024-10,Hudson,5.0,3.0,0.0,8.0,62.5,37.5
2024-10,Long Island,8.0,5.0,2.0,15.0,53.33,33.33
2024-10,Metro,11.0,2.0,4.0,17.0,64.71,11.76
2024-10,Northern,3.0,1.0,0.0,4.0,75.0,25.0
2024-10,Western,3.0,3.0,3.0,9.0,33.33,33.33
2024-11,Capital,3.0,2.0,0.0,5.0,60.0,40.0
2024-11,Central,3.0,1.0,0.0,4.0,75.0,25.0
2024-11,Hudson,5.0,3.0,1.0,9.0,55.56,33.33
2024-11,Long Island,11.0,4.0,2.0,17.0,64.71,23.53
2024-11,Metro,13.0,7.0,0.0,20.0,65.0,35.0
2024-11,Northern,4.0,0.0,0.0,4.0,100.0,0.0
2024-11,Western,6.0,0.0,1.0,7.0,85.71,0.0
2024-12,Capital,1.0,2.0,0.0,3.0,33.33,66.67
2024-12,Central,2.0,0.0,0.0,2.0,100.0,0.0
2024-12,Hudson,7.0,4.0,0.0,11.0,63.64,36.36
2024-12,Long Island,8.0,2.0,1.0,11.0,72.73,18.18
2024-12,Metro,23.0,3.0,4.0,30.0,76.67,10.0
2024-12,Northern,3.0,0.0,0.0,3.0,100.0,0.0
2024-12,Western,4.0,2.0,1.0,7.0,57.14,28.57
2025-01,Capital,7.0,1.0,0.0,8.0,87.5,12.5
2025-01,Central,1.0,1.0,1.0,3.0,33.33,33.33
2025-01,Hudson,9.0,1.0,0.0,10.0,90.0,10.0
2025-01,Long Island,11.0,2.0,1.0,14.0,78.57,14.29
2025-01,Metro,21.0,5.0,3.0,29.0,72.41,17.24
2025-01,Northern,1.0,1.0,1.0,3.0,33.33,33.33
2025-01,Western,5.0,2.0,0.0,7.0,71.43,28.57
2025-02,Capital,3.0,0.0,1.0,4.0,75.0,0.0
2025-02,Central,5.0,0.0,0.0,5.0,100.0,0.0
2025-02,Hudson,14.0,1.0,2.0,17.0,82.35,5.88
2025-02,Long Island,13.0,2.0,3.0,18.0,72.22,11.11
2025-02,Metro,16.0,5.0,2.0,23.0,69.57,21.74
2025-02,Northern,5.0,1.0,1.0,7.0,71.43,14.29
2025-02,Western,7.0,1.0,0.0,8.0,87.5,12.5
2025-03,Capital,4.0,0.0,1.0,5.0,80.0,0.0
2025-03,Central,4.0,0.0,0.0,4.0,100.0,0.0
2025-03,Hudson,5.0,4.0,2.0,11.0,45.45,36.36
2025-03,Long Island,15.0,3.0,3.0,21.0,71.43,14.29
2025-03,Metro,18.0,3.0,3.0,24.0,75.0,12.5
2025-03,Northern,2.0,3.0,0.0,5.0,40.0,60.0
2025-03,Western,4.0,0.0,1.0,5.0,80.0,0.0
2025-04,Capital,1.0,1.0,3.0,5.0,20.0,20.0
2025-04,Central,6.0,3.0,1.0,10.0,60.0,30.0
2025-04,Hudson,10.0,2.0,1.0,13.0,76.92,15.38
2025-04,Long Island,12.0,5.0,1.0,18.0,66.67,27.78
2025-04,Metro,14.0,5.0,4.0,23.0,60.87,21.74
2025-04,Northern,4.0,1.0,0.0,5.0,80.0,20.0
2025-04,Western,6.0,3.0,0.0,9.0,66.67,33.33
2025-05,Capital,7.0,1.0,2.0,10.0,70.0,10.0
2025-05,Central,2.0,4.0,0.0,6.0,33.33,66.67
2025-05,Hudson,8.0,0.0,1.0,9.0,88.89,0.0
2025-05,Long Island,10.0,3.0,2.0,15.0,66.67,20.0
2025-05,Metro,19.0,6.0,1.0,26.0,73.08,23.08
2025-05,Northern,3.0,0.0,1.0,4.0,75.0,0.0
2025-05,Western,4.0,1.0,1.0,6.0,66.67,16.67
2025-06,Capital,5.0,2.0,1.0,8.0,62.5,25.0
2025-06,Central,5.0,2.0,0.0,7.0,71.43,28.57
2025-06,Hudson,7.0,2.0,2.0,11.0,63.64,18.18
2025-06,Long Island,16.0,2.0,1.0,19.0,84.21,10.53
2025-06,Metro,23.0,7.0,5.0,35.0,65.71,20.0
2025-06,Northern,3.0,1.0,2.0,6.0,50.0,16.67
2025-06,Western,6.0,0.0,0.0,6.0,100.0,0.0
2025-07,Capital,0.0,2.0,0.0,2.0,0.0,100.0
2025-07,Central,4.0,4.0,1.0,9.0,44.44,44.44
2025-07,Hudson,2.0,1.0,1.0,4.0,50.0,25.0
2025-07,Long Island,15.0,5.0,1.0,21.0,71.43,23.81
2025-07,Metro,18.0,8.0,4.0,30.0,60.0,26.67
2025-07,Northern,1.0,1.0,0.0,2.0,50.0,50.0
2025-07,Western,6.0,3.0,2.0,11.0,54.55,27.27
2025-08,Capital,7.0,0.0,0.0,7.0,100.0,0.0
2025-08,Central,1.0,1.0,1.0,3.0,33.33,33.33
2025-08,Hudson,7.0,2.0,0.0,9.0,77.78,22.22
2025-08,Long Island,7.0,3.0,0.0,10.0,70.0,30.0
2025-08,Metro,13.0,5.0,1.0,19.0,68.42,26.32
2025-08,Northern,1.0,0.0,0.0,1.0,100.0,0.0
2025-08,Western,6.0,3.0,0.0,9.0,66.67,33.33
2025-09,Capital,7.0,1.0,0.0,8.0,87.5,12.5
2025-09,Central,3.0,2.0,0.0,5.0,60.0,40.0
2025-09,Hudson,8.0,2.0,1.0,11.0,72.73,18.18
2025-09,Long Island,9.0,1.0,1.0,11.0,81.82,9.09
2025-09,Metro,19.0,4.0,2.0,25.0,76.0,16.0
2025-09,Northern,1.0,0.0,1.0,2.0,50.0,0.0
2025-09,Western,3.0,1.0,1.0,5.0,60.0,20.0
2025-10,Capital,6.0,3.0,2.0,11.0,54.55,27.27
2025-10,Central,3.0,0.0,0.0,3.0,100.0,0.0
2025-10,Hudson,6.0,1.0,2.0,9.0,66.67,11.11
2025-10,Long Island,9.0,3.0,1.0,13.0,69.23,23.08
2025-10,Metro,15.0,3.0,0.0,18.0,83.33,16.67
2025-10,Northern,1.0,0.0,1.0,2.0,50.0,0.0
2025-10,Western,2.0,2.0,2.0,6.0,33.33,33.33
2025-11,Capital,4.0,0.0,0.0,4.0,100.0,0.0
2025-11,Central,5.0,0.0,1.0,6.0,83.33,0.0
2025-11,Hudson,6.0,2.0,0.0,8.0,75.0,25.0
2025-11,Long Island,8.0,1.0,1.0,10.0,80.0,10.0
2025-11,Metro,20.0,4.0,4.0,28.0,71.43,14.29
2025-11,Northern,0.0,1.0,1.0,2.0,0.0,50.0
2025-11,Western,6.0,1.0,0.0,7.0,85.71,14.29
2025-12,Capital,5.0,2.0,0.0,7.0,71.43,28.57
2025-12,Central,2.0,1.0,1.0,4.0,50.0,25.0
2025-12,Hudson,6.0,2.0,0.0,8.0,75.0,25.0
2025-12,Long Island,10.0,6.0,2.0,18.0,55.56,33.33
2025-12,Metro,20.0,4.0,4.0,28.0,71.43,14.29
2025-12,Northern,3.0,1.0,1.0,5.0,60.0,20.0
2025-12,Western,8.0,4.0,1.0,13.0,61.54,30.77
